branch,cutoff_date,area,region,first_date_disbursement,active_borrowers,active_agent,deliquency_rate, outstanding , weekly_disbursement , weekly_new_borrower_per_bp 
POINTID_89,2018-09-08,AREAID_11,REGION_JH,2018-07-28,113,2,0%,250,65,9
POINTID_92,2018-09-08,AREAID_4,REGION_JH,2018-07-28,124,2,0%,300,55,11
POINTID_51,2018-09-01,AREAID_29,REGION_JH,2017-09-09,1522,6,5%-10%,3500,65,6
POINTID_35,2018-09-01,AREAID_1,REGION_JH,2017-07-29,1491,5,5%-10%,2450,30,3
POINTID_44,2018-09-01,AREAID_29,REGION_JH,2017-09-09,1559,7,5%-10%,3200,40,5
POINTID_37,2018-09-01,AREAID_1,REGION_JH,2017-08-05,1492,5,2.5%-5%,2700,5,2
POINTID_89,2018-09-01,AREAID_11,REGION_JH,2018-07-28,87,2,0%,200,40,6
POINTID_92,2018-09-01,AREAID_4,REGION_JH,2018-07-28,102,2,0%,250,45,9
POINTID_99,2018-09-01,AREAID_17,REGION_JH,2018-08-18,37,2,0%,100,35,13
POINTID_28,2018-09-01,AREAID_20,REGION_JH,2017-06-03,979,3,2.5%-5%,1850,0,1
POINTID_43,2018-09-01,AREAID_29,REGION_JH,2017-09-09,1891,8,>10%,4300,20,8
POINTID_90,2018-09-01,AREAID_11,REGION_JH,2018-08-11,26,1,0%,50,35,13
POINTID_36,2018-09-01,AREAID_1,REGION_JH,2017-08-12,1439,6,5%-10%,3100,95,6
POINTID_50,2018-09-01,AREAID_29,REGION_JH,2017-09-09,1142,6,1%-2.5%,2550,20,2
POINTID_52,2018-09-01,AREAID_29,REGION_JH,2017-09-09,1793,6,0%,3800,60,4
POINTID_25,2018-09-01,AREAID_20,REGION_JH,2017-06-10,1252,6,0%,2450,90,8
POINTID_38,2018-09-01,AREAID_1,REGION_JH,2017-08-12,1524,5,2.5%-5%,2950,30,5
POINTID_24,2018-09-01,AREAID_20,REGION_JH,2017-06-10,953,4,0%,1600,40,4
POINTID_91,2018-09-01,AREAID_4,REGION_JH,2018-07-28,89,1,0%,200,5,2
POINTID_91,2018-08-25,AREAID_4,REGION_JH,2018-07-28,87,1,0%,200,30,12
POINTID_99,2018-08-25,AREAID_17,REGION_JH,2018-08-18,24,1,0%,50,65,24
POINTID_28,2018-08-25,AREAID_20,REGION_JH,2017-06-03,979,4,1%-2.5%,1900,20,3
POINTID_89,2018-08-25,AREAID_11,REGION_JH,2018-07-28,71,2,0%,150,40,6
POINTID_25,2018-08-25,AREAID_20,REGION_JH,2017-06-10,1227,5,0%,2400,65,6
POINTID_51,2018-08-25,AREAID_29,REGION_JH,2017-09-09,1503,6,2.5%-5%,3500,55,6
POINTID_92,2018-08-25,AREAID_4,REGION_JH,2018-07-28,84,2,0%,200,70,14
POINTID_24,2018-08-25,AREAID_20,REGION_JH,2017-06-10,947,4,0%,1600,10,3
POINTID_44,2018-08-25,AREAID_29,REGION_JH,2017-09-09,1544,7,5%-10%,3250,65,5
POINTID_37,2018-08-25,AREAID_1,REGION_JH,2017-08-05,1499,5,2.5%-5%,2750,25,5
POINTID_52,2018-08-25,AREAID_29,REGION_JH,2017-09-09,1777,7,0%,3850,50,5
POINTID_36,2018-08-25,AREAID_1,REGION_JH,2017-08-12,1404,5,5%-10%,3050,30,5
POINTID_38,2018-08-25,AREAID_1,REGION_JH,2017-08-12,1518,5,2.5%-5%,3050,30,6
POINTID_35,2018-08-25,AREAID_1,REGION_JH,2017-07-29,1492,6,5%-10%,2550,60,1
POINTID_50,2018-08-25,AREAID_29,REGION_JH,2017-09-09,1137,6,1%-2.5%,2600,35,3
POINTID_43,2018-08-25,AREAID_29,REGION_JH,2017-09-09,1883,8,>10%,4400,35,6
POINTID_90,2018-08-25,AREAID_11,REGION_JH,2018-08-11,13,1,0%,0,5,2
POINTID_51,2018-08-18,AREAID_29,REGION_JH,2017-09-09,1491,6,1%-2.5%,3550,70,7
POINTID_35,2018-08-18,AREAID_1,REGION_JH,2017-07-29,1500,6,5%-10%,2550,65,8
POINTID_28,2018-08-18,AREAID_20,REGION_JH,2017-06-03,977,4,1%-2.5%,1950,10,0
POINTID_44,2018-08-18,AREAID_29,REGION_JH,2017-09-09,1524,7,5%-10%,3300,95,6
POINTID_90,2018-08-18,AREAID_11,REGION_JH,2018-08-11,11,1,0%,0,30,11
POINTID_89,2018-08-18,AREAID_11,REGION_JH,2018-07-28,55,2,0%,100,55,11
POINTID_52,2018-08-18,AREAID_29,REGION_JH,2017-09-09,1761,6,0%,3900,90,8
POINTID_38,2018-08-18,AREAID_1,REGION_JH,2017-08-12,1521,5,2.5%-5%,3100,65,6
POINTID_91,2018-08-18,AREAID_4,REGION_JH,2018-07-28,75,1,0%,200,55,21
POINTID_92,2018-08-18,AREAID_4,REGION_JH,2018-07-28,56,2,0%,100,45,9
POINTID_50,2018-08-18,AREAID_29,REGION_JH,2017-09-09,1130,5,1%-2.5%,2650,30,3
POINTID_37,2018-08-18,AREAID_1,REGION_JH,2017-08-05,1498,5,2.5%-5%,2850,60,6
POINTID_25,2018-08-18,AREAID_20,REGION_JH,2017-06-10,1208,5,0%,2450,85,3
POINTID_24,2018-08-18,AREAID_20,REGION_JH,2017-06-10,949,4,0%,1650,20,9
POINTID_36,2018-08-18,AREAID_1,REGION_JH,2017-08-12,1394,6,5%-10%,3150,70,6
POINTID_43,2018-08-18,AREAID_29,REGION_JH,2017-09-09,1872,9,>10%,4450,55,9
